text,created,favoriteCount,retweetCount,arr_dt,bounded,severity,alerts_at_station_code
#RedLine experiencing minor delays due to police action at Davis #mbta,2016-03-01T03:18:51Z,0,0,2016-03-01T03:18:51Z,,1,"70063_Davis - Inbound, 70064_Davis - Outbound"
#RedLine Ashmont branch experiencing minor northbound delays #mbta,2016-03-01T20:23:09Z,0,0,2016-03-01T20:23:09Z,northbound,0,
"Buses replacing #RedLine service between Park Street and Kendall/MIT Stations on Saturday, March 12, from start to end of service.",2016-03-03T11:11:36Z,0,0,2016-03-03T11:11:36Z,,0,
#RedLine (Braintree branch) experiencing minor northbound delays due to a signal problem between North Quincy and JFK/UMass Stations.,2016-03-03T12:18:51Z,0,0,2016-03-03T12:18:51Z,northbound,0,
#RedLine experiencing minor northbound delays between Park Street and Alewife Stations. #mbta,2016-03-03T17:07:30Z,0,0,2016-03-03T17:07:30Z,northbound,0,
#RedLine experiencing moderate delays due to police action at Quincy Adams. #mbta,2016-03-05T01:21:07Z,0,0,2016-03-05T01:21:07Z,,2,"70103_Quincy Adams - Outbound, 70104_Quincy Adams - Inbound"
#RedLine Braintree branch experiencing minor northbound delays #mbta,2016-03-05T23:25:49Z,0,0,2016-03-05T23:25:49Z,northbound,0,
Credit/debit card purchases at fare vending machines at Alewife Station are currently unavailable. Cash only is accepted. #mbta,2016-03-07T11:06:16Z,0,0,2016-03-07T11:06:16Z,,0,
"Braintree Garage construction continues through Aug 2016, causing diminished parking availability. One Ivory St entrance closed Mar 8-25",2016-03-07T11:35:18Z,0,0,2016-03-07T11:35:18Z,,0,
#RedLine experiencing minor southbound delays due to a disabled train near Quincy Adams Station. #mbta,2016-03-07T13:37:56Z,0,0,2016-03-07T13:37:56Z,southbound,0,
#RedLine experiencing minor southbound delays due to an earlier disabled train at Alewife #mbta,2016-03-07T22:57:24Z,0,0,2016-03-07T22:57:24Z,southbound,0,
Mattapan Trolley experiencing minor delays due to a disabled train at Central Ave #mbta,2016-03-08T20:42:46Z,0,0,2016-03-08T20:42:46Z,,1,"70069_Central - Inbound, 70070_Central - Outbound"
#RedLine experiencing minor northbound delays due to an earlier disabled train at Charles/MGH Station. #mbta,2016-03-09T13:45:59Z,0,0,2016-03-09T13:45:59Z,northbound,0,"70073_Charles/MGH - Inbound, 70074_Charles/MGH - Outbound"
#RedLine experiencing moderate southbound delays #mbta,2016-03-12T23:25:42Z,0,0,2016-03-12T23:25:42Z,southbound,0,
"Special St Patrick's shuttles will be available to &amp; from S Station &amp; along Summer St &amp; E 1st St in South Boston 10:30am-6pm on Sun, Mar 20",2016-03-15T15:56:34Z,0,0,2016-03-15T15:56:34Z,,0,
Special St. Patricks Day shuttle bus service will be available to &amp; from S Station &amp; along Summer St &amp; East 1st St in South Boston 10:30am-6,2016-03-15T15:56:55Z,0,0,2016-03-15T15:56:55Z,,0,
Special St. Patrick's Day shuttle bus service will be available to &amp; from S Station &amp; along Summer St &amp; East 1st St in South Boston 10:30am-,2016-03-15T15:57:13Z,1,0,2016-03-15T15:57:13Z,,0,
#RedLine experiencing moderate delays due to police action at Central #mbta,2016-03-15T19:43:29Z,0,0,2016-03-15T19:43:29Z,,2,"70069_Central - Inbound, 70070_Central - Outbound"
#RedLine experiencing moderate delays due to earlier police action at Central #mbta,2016-03-15T20:09:30Z,0,0,2016-03-15T20:09:30Z,,2,"70069_Central - Inbound, 70070_Central - Outbound"
"Braintree Garage construction con't thru 8/16. Main pick-up/drop-off inaccessible from Ivory St &amp; partially out of svc starting Mon, Mar 21",2016-03-16T10:32:08Z,0,0,2016-03-16T10:32:08Z,,0,
Mattapan Trolley experiencing minor outbound delays due to a disabled train at Capen Street Station. #mbta,2016-03-16T11:52:04Z,0,0,2016-03-16T11:52:04Z,,0,
"Buses replacing #RedLine service between Alewife and Harvard Sq Stations on Mar 26, April 2-3, 9-10, and 23-24 from start to end of service",2016-03-17T14:00:50Z,0,0,2016-03-17T14:00:50Z,,0,
